TimeFromStart (s),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GNSSVelxX (m/s),GNSSVelxY (m/s),GNSSVelxZ (m/s)
52.02,-0.10427999079999999,0.162879366,-9.7621813416,,,
52.03,-0.1666987198,0.2196347108,-9.7717501223,,,
52.04,-0.12936348790000002,0.06564985379999999,-9.8834007978,,,
52.05,-0.0528572069,0.1624550554,-9.888129681299999,,,
52.06,-0.0065712251,0.22106540859999999,-9.7663938999,,,
52.07,-0.1573594171,0.1050524297,-9.8035089672,,,
52.08,-0.1845128718,0.17789042319999998,-9.8384656012,,,
52.09,-0.0953493582,0.133942801,-9.8091006279,,,
52.1,-0.0997112948,0.1320034149,-9.7769446671,,,
52.11,-0.1309744897,0.2616869053,-9.7646974027,,,
52.12,-0.11882389659999999,0.10939574569999999,-9.8696887493,,,
52.13,-0.08465460849999999,0.1115886378,-9.9302664399,,,
52.14,-0.0281389774,0.22401788740000003,-9.7931161523,,,
52.15,-0.13936980389999998,0.13224667639999999,-9.7366586328,,,
52.16,-0.19723752049999999,0.1527225482,-9.8527684808,,,
52.17,-0.0859212072,0.1840252313,-9.8777443171,,,
52.18,-0.0587657036,0.11140349089999999,-9.8217062652,,,
52.19,-0.10462234499999999,0.22258160170000002,-9.7264103591,,,
52.2,-0.1534279319,0.15242545629999998,-9.8578959703,,,
52.21,-0.14197527199999999,0.0890443043,-9.9709905684,,,
52.22,-0.010253302,0.2131029731,-9.8126471043,,,
52.23,-0.0328578026,0.1378688845,-9.6801735461,,,
52.24,-0.18936953269999998,0.13160369130000002,-9.8540410399,,,
52.25,-0.175170775,0.19969136920000002,-9.9182702601,,,
52.26,-0.1011734712,0.0962285267,-9.830481558999999,,,
52.27,-0.0668950321,0.168779667,-9.678533673299999,,,
52.28,-0.09948610100000001,0.2286381787,-9.7752057016,,,
52.29,-0.14226211930000002,0.0601066218,-10.0074738264,,,
52.3,-0.0688977481,0.186215702,-9.9004007876,,,
52.31,-0.0282961846,0.1584187034,-9.6530221403,,,
52.32,-0.1800462487,0.10941027430000001,-9.7319550812,,,
52.33,-0.1932758722,0.20853576719999997,-9.9468715489,,,
52.34,-0.09608081889999999,0.1398892957,-9.9308438599,,,
52.35,-0.0434407935,0.1230670023,-9.728948771999999,,,
52.36,-0.0741604657,0.2297220519,-9.6529342234,,,
52.37,-0.1745883259,0.0882122607,-9.9552512169,,,
52.38,-0.162742089,0.1580016571,-10.0160032511,,,
52.39,-0.0081229948,0.21035240500000002,-9.7309671342,,,
52.4,-0.0544877665,0.0827029289,-9.6635267138,,,
52.41,-0.1678835484,0.2106815344,-9.901063889300001,,,
52.42,-0.15115569110000002,0.1631937805,-9.972918033600001,,,
52.43,-0.1092648017,0.1008868101,-9.820222854599999,,,
52.44,-0.055642792700000006,0.2233970677,-9.6076071262,,,
52.45,-0.1288154977,0.1748772222,-9.7905851901,,,
52.46,-0.1839078846,0.09999683829999999,-10.0498594344,,,
52.47,-0.0474624307,0.2176174661,-9.8815567791,,,
52.48,-0.0205202014,0.1113319653,-9.6591599286,,,
52.49,-0.13809854859999998,0.170707691,-9.7379907966,,,
52.5,-0.1563109341,0.1827388885,-9.913839399799999,,,
52.51,-0.1455003279,0.1028144616,-9.939737617999999,,,
52.52,-0.062960753,0.20089426540000002,-9.7322866321,,,
52.53,-0.094493659,0.199544034,-9.647716581800001,,,
52.54,-0.18382238920000002,0.0818690227,-9.9403895438,,,
52.55,-0.0912662537,0.18597504820000002,-9.968267381199999,,,
52.56,0.006182118499999999,0.161852676,-9.7779162228,,,
52.57,-0.0863481255,0.11578238340000001,-9.6829220653,,,
52.58,-0.1665761578,0.20074134230000001,-9.8363980651,,,
52.59,-0.18591935510000002,0.09682382810000001,-9.9647060037,,,
52.6,-0.0906838046,0.15723424730000002,-9.8620891571,,,
52.61,-0.0341871724,0.2221941715,-9.6358068287,,,
52.62,-0.14879385709999998,0.1074561733,-9.8010182381,,,
52.63,-0.1403288799,0.1291239518,-9.9978193641,,,
52.64,-0.054745556599999995,0.1811737078,-9.8786540329,,,
52.65,-0.0797752233,0.107824977,-9.7236588597,,,
52.66,-0.1537712174,0.21802501289999998,-9.7244814038,,,
52.67,-0.15784016580000002,0.11673009720000001,-9.9144816399,,,
52.68,-0.11332946599999999,0.11311619310000001,-9.9374391139,,,
52.69,-0.028930415299999998,0.2365851542,-9.719278663399999,,,
52.7,-0.1425541821,0.14154611849999998,-9.7050637007,,,
52.71,-0.1750260475,0.12548434320000001,-9.9255919456,,,
52.72,-0.07118973299999999,0.19221658590000001,-9.9159300327,,,
52.73,-0.012879072200000001,0.12638791230000002,-9.8037920892,,,
52.74,-0.1000298071,0.20046622960000002,-9.721373766700001,,,
